id,rating,votes
2,5.6,286
3,6.5,2165
4,5.3,183
5,6.2,2892
6,5.0,206
7,5.3,899
8,5.4,2275
9,5.4,218
10,6.8,7855
11,5.2,411
12,7.4,13347
13,5.7,2045
14,7.1,6085
15,6.1,1256
16,5.9,1644
17,4.6,373
18,5.2,654
19,5.2,33
20,4.7,407
21,5.1,1191
22,5.7,1568
23,3.8,153
24,4.2,49
25,5.6,1658
26,5.6,1253
27,5.1,1180
28,5.9,3642
29,5.2,953
30,5.5,1083
31,4.9,453
32,5.5,1118
33,4.8,245
34,5.5,85
35,4.4,647
36,4.4,77
37,4.1,227
38,3.7,34
39,4.2,78
40,6.7,2089
41,4.2,40
42,3.4,34
43,3.9,54
44,4.0,35
45,4.1,39
46,3.7,39
47,4.7,228
48,4.8,55
49,4.1,36
50,3.6,37
51,4.3,119
52,3.3,19
53,4.9,36
54,3.8,33
55,3.0,23
56,4.3,37
57,4.2,35
58,3.5,29
59,7.1,93
60,4.2,34
61,6.1,217
62,3.4,30
63,3.1,31
64,3.3,31
65,3.2,31
66,5.2,91
67,3.8,33
68,4.9,534
69,6.4,2865
70,3.4,31
71,3.6,29
72,3.5,32
73,4.6,33
74,6.3,2141
75,4.4,579
76,4.5,37
77,3.6,106
78,4.5,38
79,4.1,33
80,4.1,34
81,4.6,51
82,4.6,34
83,4.4,32
84,4.7,35
85,4.1,35
86,4.8,38
87,4.3,34
88,6.2,1089
89,4.0,33
90,6.7,4241
91,4.6,31
92,4.6,98
93,4.3,51
94,4.8,36
95,4.5,31
96,4.9,35
97,5.2,38
98,4.7,34
99,4.7,64
100,4.6,30
101,4.7,28
102,5.4,29
103,5.5,495
104,5.0,31
105,4.5,25
106,5.2,30
107,4.4,583
108,4.4,568
109,4.3,576
110,4.4,590
111,4.5,564
112,4.3,591
113,5.1,32
114,4.9,36
115,5.2,29
116,5.0,185
117,4.9,43
118,5.0,73
119,4.8,64
120,4.4,118
121,5.1,33
122,5.4,192
123,5.3,32
124,4.6,16
125,5.8,33
126,4.4,29
127,5.5,41
128,6.5,54
129,5.1,30
130,5.7,1613
131,5.1,1195
132,6.2,37
133,4.5,22
134,6.2,88
135,4.9,41
136,6.4,1295
137,5.3,28
138,4.9,336
139,5.1,134
140,5.1,32
